support,itemsets
1.0583466508620234e-05,"frozenset({'cine_photo', 'telephony'})"
1.0583466508620234e-05,"frozenset({'computers', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'construction_tools_construction', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'computers_accessories', 'construction_tools_safety'})"
5.2917332543101164e-05,"frozenset({'cool_stuff', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'dvds_blu_ray', 'computers_accessories'})"
5.2917332543101164e-05,"frozenset({'electronics', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'computers_accessories'})"
8.466773206896187e-05,"frozenset({'computers_accessories', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'computers_accessories'})"
4.2333866034480934e-05,"frozenset({'computers_accessories', 'housewares'})"
2.1166933017240467e-05,"frozenset({'computers_accessories', 'luggage_accessories'})"
1.0583466508620234e-05,"frozenset({'office_furniture', 'computers_accessories'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'computers_accessories'})"
2.1166933017240467e-05,"frozenset({'computers_accessories', 'stationery'})"
1.0583466508620234e-05,"frozenset({'computers_accessories', 'tablets_printing_image'})"
6.35007990517214e-05,"frozenset({'telephony', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'housewares'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'pet_shop'})"
1.0583466508620234e-05,"frozenset({'consoles_games', 'sports_leisure'})"
2.1166933017240467e-05,"frozenset({'consoles_games', 'toys'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'construction_tools_construction'})"
5.2917332543101164e-05,"frozenset({'construction_tools_construction', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'construction_tools_construction'})"
1.0583466508620234e-05,"frozenset({'construction_tools_construction', 'housewares'})"
1.0583466508620234e-05,"frozenset({'construction_tools_construction', 'kitchen_dining_laundry_garden_furniture'})"
1.0583466508620234e-05,"frozenset({'pet_shop', 'construction_tools_construction'})"
1.0583466508620234e-05,"frozenset({'construction_tools_construction', 'toys'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'construction_tools_construction'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'construction_tools_lights'})"
0.00011641813159482257,"frozenset({'construction_tools_lights', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'construction_tools_lights', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'construction_tools_lights'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'construction_tools_lights'})"
2.1166933017240467e-05,"frozenset({'cool_stuff', 'construction_tools_safety'})"
2.1166933017240467e-05,"frozenset({'home_construction', 'construction_tools_safety'})"
4.2333866034480934e-05,"frozenset({'cool_stuff', 'furniture_decor'})"
2.1166933017240467e-05,"frozenset({'health_beauty', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'cool_stuff', 'housewares'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'cool_stuff'})"
2.1166933017240467e-05,"frozenset({'cool_stuff', 'tablets_printing_image'})"
6.35007990517214e-05,"frozenset({'cool_stuff', 'telephony'})"
7.408426556034164e-05,"frozenset({'cool_stuff', 'toys'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'cool_stuff'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'flowers'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'costruction_tools_garden'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'pet_shop'})"
1.0583466508620234e-05,"frozenset({'costruction_tools_garden', 'telephony'})"
3.17503995258607e-05,"frozenset({'health_beauty', 'drinks'})"
2.1166933017240467e-05,"frozenset({'drinks', 'housewares'})"
2.1166933017240467e-05,"frozenset({'sports_leisure', 'drinks'})"
1.0583466508620234e-05,"frozenset({'dvds_blu_ray', 'housewares'})"
1.0583466508620234e-05,"frozenset({'electronics', 'food'})"
2.1166933017240467e-05,"frozenset({'furniture_decor', 'electronics'})"
1.0583466508620234e-05,"frozenset({'electronics', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'electronics'})"
1.0583466508620234e-05,"frozenset({'electronics', 'housewares'})"
1.0583466508620234e-05,"frozenset({'electronics', 'luggage_accessories'})"
2.1166933017240467e-05,"frozenset({'electronics', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'electronics'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'electronics'})"
2.1166933017240467e-05,"frozenset({'telephony', 'electronics'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'electronics'})"
1.0583466508620234e-05,"frozenset({'fashion_sport', 'fashio_female_clothing'})"
2.1166933017240467e-05,"frozenset({'fashion_bags_accessories', 'fashion_childrens_clothes'})"
1.0583466508620234e-05,"frozenset({'fashion_sport', 'fashion_bags_accessories'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'fashion_bags_accessories'})"
1.0583466508620234e-05,"frozenset({'fashion_bags_accessories', 'musical_instruments'})"
2.1166933017240467e-05,"frozenset({'fashion_bags_accessories', 'stationery'})"
1.0583466508620234e-05,"frozenset({'food', 'fixed_telephony'})"
1.0583466508620234e-05,"frozenset({'telephony', 'fixed_telephony'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'flowers'})"
