antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'home_construction'}),frozenset({'costruction_tools_garden'}),0.005090647390646332,0.0020108586366378444,1.0583466508620234e-05,0.002079002079002079,1.033887733887734,1.0,3.468942370611492e-07,1.000068285407869,0.032944705657085654,0.0014925373134328358,6.828074529061848e-05,0.0036710799868694606
frozenset({'costruction_tools_garden'}),frozenset({'home_construction'}),0.0020108586366378444,0.005090647390646332,1.0583466508620234e-05,0.005263157894736842,1.033887733887734,1.0,3.468942370611492e-07,1.0001734232580803,0.03284303848478737,0.0014925373134328358,0.00017339318766887205,0.0036710799868694606
frozenset({'fashion_sport'}),frozenset({'fashio_female_clothing'}),0.00027517012922412607,0.0003810047943103284,1.0583466508620234e-05,0.038461538461538464,100.94764957264958,1.0,1.047862537013485e-05,1.0396037550139172,0.9903663945967119,0.01639344262295082,0.03809504806317969,0.03311965811965812
frozenset({'fashio_female_clothing'}),frozenset({'fashion_sport'}),0.0003810047943103284,0.00027517012922412607,1.0583466508620234e-05,0.02777777777777778,100.94764957264958,1.0,1.047862537013485e-05,1.0282883964385123,0.990471249642672,0.01639344262295082,0.027510177627686445,0.03311965811965812
frozenset({'fashion_bags_accessories'}),frozenset({'fashion_childrens_clothes'}),0.019177241313619864,7.408426556034164e-05,2.1166933017240467e-05,0.0011037527593818985,14.89861242510249,1.0,1.9746201179047498e-05,1.0010308062490634,0.9511195036417589,0.0011007154650522837,0.0010297447817074242,0.1434090192368338
frozenset({'fashion_childrens_clothes'}),frozenset({'fashion_bags_accessories'}),7.408426556034164e-05,0.019177241313619864,2.1166933017240467e-05,0.2857142857142857,14.89861242510249,1.0,1.9746201179047498e-05,1.3731518621609322,0.9329487722269263,0.0011007154650522837,0.2717484296119311,0.1434090192368338
frozenset({'fashion_sport'}),frozenset({'fashion_bags_accessories'}),0.00027517012922412607,0.019177241313619864,1.0583466508620234e-05,0.038461538461538464,2.00558244184072,1.0,5.306462538189206e-06,1.0200556690338354,0.5015297318470057,0.0005443658138268917,0.01966134755452263,0.019506707420614708
frozenset({'fashion_bags_accessories'}),frozenset({'fashion_sport'}),0.019177241313619864,0.00027517012922412607,1.0583466508620234e-05,0.0005518763796909492,2.00558244184072,1.0,5.306462538189206e-06,1.0002768590424327,0.5111950364175883,0.0005443658138268917,0.00027678241271909804,0.019506707420614708
frozenset({'food'}),frozenset({'fixed_telephony'}),0.004624974864267042,0.0022119445003016287,1.0583466508620234e-05,0.002288329519450801,1.0345329727480759,1.0,3.5327879357147885e-07,1.0000765602141473,0.03353535353535364,0.001550387596899225,7.655435312955132e-05,0.003536509257333056
frozenset({'fixed_telephony'}),frozenset({'food'}),0.0022119445003016287,0.004624974864267042,1.0583466508620234e-05,0.004784688995215312,1.0345329727480759,1.0,3.5327879357147885e-07,1.000160481987347,0.03345425231761397,0.001550387596899225,0.0001604562370112616,0.003536509257333056
